product_name,price,marketplace,search_term,link
Blackview N2000 FLIP 4G MOBILE PHONE | RED | BLUE | BLACK,"Rs. 5,819",Daraz,smartphone,https://www.daraz.com.np/products/blackview-n2000-flip-4g-mobile-phone-red-blue-black-i171335490.html
"Redmi 15C (6GB+128GB) | 6.9"" Dot Drop DIsplay |  MediaTek Helio G81-Ultra processor | 6000mAh (typ) battery | 33W Fast charging | 10W reverse charging","Rs. 21,999",Daraz,smartphone,https://www.daraz.com.np/products/redmi-15c-6gb128gb-69-dot-drop-display-mediatek-helio-g81-ultra-processor-6000mah-typ-battery-33w-fast-charging-10w-reverse-charging-i480184210.html
"Samsung Galaxy A07 (6GB RAM + 128GB) | 6.7"" 90Hz Display | 5000mAh Battery","Rs. 26,499",Daraz,smartphone,https://www.daraz.com.np/products/samsung-galaxy-a07-6gb-ram-128gb-67-90hz-display-5000mah-battery-i479109640.html
Samsung Galaxy A17 5G (6GB RAM + 128GB) | 90Hz Super AMOLED | 50MP Camera With 25W Power Adapter,"Rs. 33,999",Daraz,smartphone,https://www.daraz.com.np/products/samsung-galaxy-a17-5g-6gb-ram-128gb-90hz-super-amoled-50mp-camera-with-25w-power-adapter-i479073236.html
IPRO S 501 Aplus-4G Android Smart Phone,"Rs. 3,976",Daraz,smartphone,https://www.daraz.com.np/products/ipro-s-501-aplus-4g-android-smart-phone-i127665045.html
Blackview BV6200 Plus Rugged Phone (8GB+256GB) | 3W 98dB Ultra Loud Speaker | 11000mAh Battery | Shockproof & Waterproof | 6.56-inch HD+IPS Display | 90Hz Refresh Rate | 16MP Camera |  Up to 2TB TF Expansion,"Rs. 22,309",Daraz,smartphone,https://www.daraz.com.np/products/blackview-bv6200-plus-rugged-phone-8gb256gb-3w-98db-ultra-loud-speaker-11000mah-battery-shockproof-waterproof-656-inch-hdips-display-90hz-refresh-rate-16mp-camera-up-to-2tb-tf-expansion-i292035294.html
"HONOR X9d 5G | 8/12GB RAM, 256GB Storage | 2.5m Drop-resistant | IP69K Water-resistant | 8300mAh 3-day Battery | 108MP AI Camera","Rs. 54,999",Daraz,smartphone,https://www.daraz.com.np/products/honor-x9d-5g-812gb-ram-256gb-storage-25m-drop-resistant-ip69k-water-resistant-8300mah-3-day-battery-108mp-ai-camera-i511085056.html
Samsung Galaxy A17 5G (8GB RAM + 128GB) | 90Hz Super AMOLED | 50MP Camera With 25W Power Adapter,"Rs. 36,999",Daraz,smartphone,https://www.daraz.com.np/products/samsung-galaxy-a17-5g-8gb-ram-128gb-90hz-super-amoled-50mp-camera-with-25w-power-adapter-i479125093.html
OnePlus 15 | 16GB+512GB | Sand Storm | Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalized AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,"Rs. 169,999",Daraz,smartphone,https://www.daraz.com.np/products/oneplus-15-16gb512gb-sand-storm-snapdragon-8-elite-gen-5-7300mah-battery-personalized-ai-game-changing-165hz-display-triple-50mp-camera-with-4k-120fps-dolby-vision-i505325524.html
Samsung Galaxy A07 4GB 128GB Smartphone 6.7 Inch HD+ 90Hz Display 50MP Camera 5000mAh Battery Long Lasting Performance Mobile Phone,"Rs. 22,499",Daraz,smartphone,https://www.daraz.com.np/products/samsung-galaxy-a07-4gb-128gb-smartphone-67-inch-hd-90hz-display-50mp-camera-5000mah-battery-long-lasting-performance-mobile-phone-i496280661.html
Vippo+ Keypad Mobile Phone | One Year Warranty | 1000 Mah Battery | Big Torch With Side Switch,"Rs. 1,103",Daraz,smartphone,https://www.daraz.com.np/products/vippo-keypad-mobile-phone-one-year-warranty-1000-mah-battery-big-torch-with-side-switch-i135140322.html
"Blackview COLOR 6 | 6.67"" 90Hz Display | MediaTek Helio G81 | 8+128GB | 50MP Main & 13MP Selfie Camera | 4G Smartphone","Rs. 18,429",Daraz,smartphone,https://www.daraz.com.np/products/blackview-color-6-667-90hz-display-mediatek-helio-g81-8128gb-50mp-main-13mp-selfie-camera-4g-smartphone-i456235262.html
ZTE | nubia V80 Design (8 + 256 ) | 5000mAh battery | 6.75 inch 120 Hz Smoother | 50 MP AI Camera,"Rs. 25,999",Daraz,smartphone,https://www.daraz.com.np/products/zzte-nubia-v80-design-8-256-5000mah-battery-675-inch-120-hz-smoother-50-mp-ai-camera-i509650051.html
"Coolpad Cool 10 A [2GB+64GB,6.517 ""HD Waterdrop ,13MP+0.3MP,4000 mAh ]","Rs. 12,495",Daraz,smartphone,https://www.daraz.com.np/products/coolpad-cool-10-a-2gb64gb6517-hd-waterdrop-13mp03mp4000-mah-i105517300.html
"Samsung Galaxy A17 5G (6GB/128GB) | 6.7"" sAMOLED 90Hz Display | 50MP Main Camera | 5000mAh Battery","Rs. 33,999",Daraz,smartphone,https://www.daraz.com.np/products/samsung-galaxy-a17-5g-6gb128gb-67-samoled-90hz-display-50mp-main-camera-5000mah-battery-i496096859.html
Blackview SHARK 9 5G (8GB+256GB) | 50MP Camera | 90Hz Refresh Rate | 5000mAh Battery | 18W Fast Charging,"Rs. 21,339",Daraz,smartphone,https://www.daraz.com.np/products/blackview-shark-9-5g-8gb256gb-50mp-camera-90hz-refresh-rate-5000mah-battery-18w-fast-charging-i181684536.html
"HONOR 400 Pro 5G | 24*GB RAM, 512GB Storage | 200MP Ultra-clear AI Camera System | AI Image to Video | 6000mAh Silicon-carbon Battery | 100W Wired Charging and 50W Wireless charging","Rs. 88,480",Daraz,smartphone,https://www.daraz.com.np/products/honor-400-pro-5g-24gb-ram-512gb-storage-200mp-ultra-clear-ai-camera-system-ai-image-to-video-6000mah-silicon-carbon-battery-100w-wired-charging-and-50w-wireless-charging-i403848285.html
Lephone w10 (Gold 8gb) 1 gb ram,"Rs. 5,096",Daraz,smartphone,https://www.daraz.com.np/products/lephone-w10-gold-8-gb1-gb-ram-i115697756.html
"OnePlus Nord 5 5G | 12GB RAM, 512GB Storage | Snapdragon™ 8s Gen 3 | 144Hz Swift AMOLED Display + Dual Stereo Speakers","Rs. 79,999",Daraz,smartphone,https://www.daraz.com.np/products/oneplus-nord-5-5g-12gb-ram-512gb-storage-snapdragon-8s-gen-3-144hz-swift-amoled-display-dual-stereo-speakers-i421593556.html
"Nothing Phone (3a) lite 6.77"" Flexible AMOLED Display | MediaTek Dimensity 7300 Pro 5G Processor | 5,000 mAh Battery","Rs. 40,999",Daraz,smartphone,https://www.daraz.com.np/products/nothing-phone-3a-lite-677-flexible-amoled-display-mediatek-dimensity-7300-pro-5g-processor-5000-mah-battery-i502456765.html
Laptop Acer Aspire Lite 15 AL15-44P AMD Ryzen 5 7430U – 16GB DDR4 RAM – 512GB NVMe SSD – AMD Radeon Integrated Graphics – 15.6″ FHD IPS Display – Silver,"Rs. 93,777",Daraz,laptop,https://www.daraz.com.np/products/laptop-acer-aspire-lite-15-al15-44p-amd-ryzen-5-7430u-16gb-ddr4-ram-512gb-nvme-ssd-amd-radeon-integrated-graphics-156-fhd-ips-display-silver-i1514421233.html
Lenovo IdeaPad 1i – Intel Core i5 1335U 13th Gen – 16GB DDR4 RAM – 256GB NVMe SSD – Intel Iris Xe Integrated Graphics – 15.6″ Full HD (1920 x 1080) Display – Cloud Grey,"Rs. 83,777",Daraz,laptop,https://www.daraz.com.np/products/lenovo-ideapad-1i-intel-core-i5-1335u-13th-gen-16gb-ddr4-ram-256gb-nvme-ssd-intel-iris-xe-integrated-graphics-156-full-hd-1920-x-1080-display-cloud-grey-i1514316560.html
Dell Latitude 3000 3420 14'' Notebook - Full HD - 1920 x 1080 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black (Upgraded),"Rs. 53,955",Daraz,laptop,https://www.daraz.com.np/products/dell-latitude-3000-3420-14-notebook-full-hd-1920-x-1080-intel-core-i5-11th-gen-i5-1135g7-quad-core-4-core-240-ghz-8-gb-ram-256-gb-ssd-black-upgraded-i1515774045.html
"HP EliteBook 655 G10 | Ryzen 5 Pro 7530U | 32GB RAM | 1TB SSD | 15.6"" Laptop","Rs. 126,500",Daraz,laptop,https://www.daraz.com.np/products/hp-elitebook-655-g10-ryzen-5-pro-7530u-32gb-ram-1tb-ssd-156-laptop-i511642996.html
ASUS VivoBook 16 M1607KA Ryzen AI 5 330 Processor – 16GB DDR5 RAM – 512GB NVMe Gen4 SSD – AMD Radeon Graphics – 16″ FHD+ Display – Copilot+ PC – Windows 11 Home – Quiet Blue,"Rs. 117,777",Daraz,laptop,https://www.daraz.com.np/products/asus-vivobook-16-m1607ka-ryzen-ai-5-330-processor-16gb-ddr5-ram-512gb-nvme-gen4-ssd-amd-radeon-graphics-16-fhd-display-copilot-pc-windows-11-home-quiet-blue-i1514708054.html
GREAT ASIA TK-E181 I7CORE 11th Gen 8GB RAM 512GB SSD 64BIT OPERATING SYSTEM 15.6INC SCREEN,"Rs. 95,000",Daraz,laptop,https://www.daraz.com.np/products/great-asia-tk-e181-i7core-11th-gen-8gb-ram-512gb-ssd-64bit-os-156inc-screen-i127092200.html
Acer Swift 16 AI Core Ultra 7 Series 2 256V | 16GB Memory | 1TB SSD | 16″ 3K OLED Touch Laptop | Copilot+ PC | Ice Black,"Rs. 167,777",Daraz,laptop,https://www.daraz.com.np/products/acer-swift-16-ai-core-ultra-7-series-2-256v-16gb-memory-1tb-ssd-16-3k-oled-touch-laptop-copilot-pc-ice-black-i1514731203.html
"hp pavilion 14-ck 14-cf 240g7 ,Core i3 7th gen motherboard","Rs. 20,000",Daraz,laptop,https://www.daraz.com.np/products/hp-pavilion-14-ck-14-cf-240g7-core-i3-7th-gen-motherboard-i1516141900.html
HP Notebook 15-fc0124nia AMD Ryzen 3 7320U Processor – 8GB DDR5 RAM – 512GB NVMe SSD – AMD Radeon Integrated Graphics – 15.6″ FHD IPS Display – Backlit Keyboard - Natural Silver,"Rs. 72,777",Daraz,laptop,https://www.daraz.com.np/products/hp-notebook-15-fc0124nia-amd-ryzen-3-7320u-processor-8gb-ddr5-ram-512gb-nvme-ssd-amd-radeon-integrated-graphics-156-fhd-ips-display-backlit-keyboard-natural-silver-i1514314530.html
Asus Vivobook X1404VA Core i3-1315U 13th Gen | 8 GB RAM | 256GB SSD | 14″ FHD | Win 11 | 1 Years Warranty,"Rs. 79,190",Daraz,laptop,https://www.daraz.com.np/products/asus-vivobook-x1404va-core-i3-1315u-13th-gen-8-gb-ram-256gb-ssd-14-fhd-win-11-1-years-warranty-i511345998.html
Asus Vivobook 14 X1404 Core 5 120U 14th Gen Processor – 8GB DDR4 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 14″ FHD IPS Display – Magic Numpad – Quiet Blue,"Rs. 87,777",Daraz,laptop,https://www.daraz.com.np/products/asus-vivobook-14-x1404-core-5-120u-14th-gen-processor-8gb-ddr4-ram-512gb-nvme-ssd-intel-integrated-graphics-14-fhd-ips-display-magic-numpad-quiet-blue-i1514670743.html
Acer Aspire Go 15 Core 3-N355 | 8GB RAM | 256GB SSD | 15.6 ” FHD | Win 11 Home | 1Years Warranty,"Rs. 71,270",Daraz,laptop,https://www.daraz.com.np/products/acer-aspire-go-15-core-3-n355-8gb-ram-256gb-ssd-156-fhd-win-11-home-1years-warranty-i511347976.html
